,region_name,region_shorthand,region_code,region_type,lng1,lat1,lng2,lat2,lng3,lat3,lng4,lat4,lng5,lat5,lng6,lat6,region_poly_lng,region_poly_lat,geometry,,,,,,,,,,,,,
1,Amazon [AMZ:7],AMZ,7,land,-66.4,-20,-79.7,-1.2,-68.8,11.4,-50,11.4,-50,-20,NA,NA,"-66.4,-79.7,-68.8,-50,-50","-20,-1.2,11.4,11.4,-20",list(c(-79.7,-68.8,-50,-50,-66.4,-79.7,-1.2,11.4,11.4,-20,-20, -1.2)),,
2,Central America/Mexico [CAM:6],CAM,6,land,-68.8,11.4,-79.7,-1.2,-118.3,28.6,-90.3,28.6,NA,NA,NA,NA,"-68.8,-79.7,-118.3,-90.3","11.4,-1.2,28.6,28.6",list(c(-79.7,-118.3,-90.3,-68.8,-79.7,-1.2,28.6,28.6,11.4, -1.2)),,,,
3,small islands regions Caribbean,CAR*,NA,all,-68.8,11.4,-85.8,25,-60,25,-60,11.4,NA,NA,NA,NA,"-68.8,-85.8,-60,-60","11.4,25,25,11.4",list(c(-85.8,-60,-60,-68.8,-85.8,25,25,11.4,11.4, 25)),,,,
4,Central Asia [CAS:20],CAS,20,land,60,30,60,50,75,50,75,30,NA,NA,NA,NA,"60,60,75,75","30,50,50,30",list(c(60,75,75,60,60,50,50,30,30, 50)),,,,
5,Central Europe [CEU:12],CEU,12,land,-10,45,-10,48,40,61.3,40,45,NA,NA,NA,NA,"-10,-10,40,40","45,48,61.3,45",list(c(-10,-2.481203008,40,40,-10,-10,48,50,50,45,45, 48)),,
6,Central North America [CNA:4],CNA,4,land,-85,50,-85,28.6,-105,28.6,-105,50,NA,NA,NA,NA,"-85,-85,-105,-105","50,28.6,28.6,50",list(c(-85,-105,-105,-85,-85,28.6,28.6,50,50, 28.6)),,,,
7,East Africa [EAF:16],EAF,16,land,25,-11.4,25,15,52,15,52,-11.4,NA,NA,NA,NA,"25,25,52,52","-11.4,15,15,-11.4",list(c(25,52,52,25,25,15,15,-11.4,-11.4, 15)),,,,
8,East Asia [EAS:22],EAS,22,land,100,20,100,50,145,50,145,20,NA,NA,NA,NA,"100,100,145,145","20,50,50,20",list(c(100,145,145,100,100,50,50,20,20, 50)),,,,
9,East North America [ENA:5],ENA,5,land,-60,25,-85,25,-85,50,-60,50,NA,NA,NA,NA,"-60,-85,-85,-60","25,25,50,50",list(c(-85,-85,-60,-60,-85,25,50,50,25, 25)),,,,
10,South Europe/Mediterranean [MED:13],MED,13,land,-10,30,-10,45,40,45,40,30,NA,NA,NA,NA,"-10,-10,40,40","30,45,45,30",list(c(-10,40,40,-10,-10,45,45,30,30, 45)),,,,
11,North Australia [NAU:25],NAU,25,land,110,-30,110,-10,155,-10,155,-30,NA,NA,NA,NA,"110,110,155,155","-30,-10,-10,-30",list(c(110,155,155,110,110,-10,-10,-30,-30, -10)),,,,
12,North-East Brazil [NEB:8],NEB,8,land,-34,-20,-50,-20,-50,0,-34,0,NA,NA,NA,NA,"-34,-50,-50,-34","-20,-20,0,0",list(c(-50,-50,-34,-34,-50,-20,0,0,-20, -20)),,,,
13,North Europe [NEU:11],NEU,11,land,-10,48,-10,75,40,75,40,61.3,NA,NA,NA,NA,"-10,-10,40,40","48,75,75,61.3",list(c(-10,-2.481203008,-10,-10,50,50,48, 50)),,,,,,
14,Southern Africa [SAF:17],SAF,17,land,-10,-35,-10,-11.4,52,-11.4,52,-35,NA,NA,NA,NA,"-10,-10,52,52","-35,-11.4,-11.4,-35",list(c(-10,52,52,-10,-10,-11.4,-11.4,-35,-35, -11.4)),,,,
15,Sahara [SAH:14],SAH,14,land,-20,15,-20,30,40,30,40,15,NA,NA,NA,NA,"-20,-20,40,40","15,30,30,15",list(c(-20,40,40,-20,-20,30,30,15,15, 30)),,,,
16,South Asia [SAS:23],SAS,23,land; sea,60,5,60,30,100,30,100,20,95,20,95,5,"60,60,100,100,95,95","5,30,30,20,20,5",list(c(60,100,100,95,95,60,60,30,30,20,20,5,5, 30))
17,South Australia/New Zealand [SAU:26],SAU,26,land,110,-50,110,-30,180,-30,180,-50,NA,NA,NA,NA,"110,110,180,180","-50,-30,-30,-50",list(c(110,180,180,110,110,-30,-30,-50,-50, -30)),,,,
18,Southeast Asia [SEA:24],SEA,24,land; sea,95,-10,95,20,155,20,155,-10,NA,NA,NA,NA,"95,95,155,155","-10,20,20,-10",list(c(95,155,155,95,95,20,20,-10,-10, 20)),,,,
19,Southeastern South America [SSA:10],SSA,10,land,-39.4,-20,-39.4,-56.7,-67.3,-56.7,-72.1,-50,-66.4,-20,NA,NA,"-39.4,-39.4,-67.3,-72.1,-66.4","-20,-56.7,-56.7,-50,-20",list(c(-39.4,-72.1,-66.4,-39.4,-39.4,-50,-50,-20,-20, -50)),,,,
20,Tibetan Plateau [TIB:21],TIB,21,land,75,30,75,50,100,50,100,30,NA,NA,NA,NA,"75,75,100,100","30,50,50,30",list(c(75,100,100,75,75,50,50,30,30, 50)),,,,
21,West Africa [WAF:15],WAF,15,land,-20,-11.4,-20,15,25,15,25,-11.4,NA,NA,NA,NA,"-20,-20,25,25","-11.4,15,15,-11.4",list(c(-20,25,25,-20,-20,15,15,-11.4,-11.4, 15)),,,,
22,West Asia [WAS:19],WAS,19,land,40,15,40,50,60,50,60,15,NA,NA,NA,NA,"40,40,60,60","15,50,50,15",list(c(40,60,60,40,40,50,50,15,15, 50)),,,,
23,West North America [WNA:3],WNA,3,land,-105,28.6,-130,28.6,-130,60,-105,60,NA,NA,NA,NA,"-105,-130,-130,-105","28.6,28.6,60,60",list(c(-130,-130,-105,-105,-130,28.6,50,50,28.6, 28.6)),,,,
24,West Coast South America [WSA:9],WSA,9,land,-79.7,-1.2,-66.4,-20,-72.1,-50,-67.3,-56.7,-82,-56.7,-82,0.5,"-79.7,-66.4,-72.1,-67.3,-82,-82","-1.2,-20,-50,-56.7,-56.7,0.5",list(c(-66.4,-72.1,-82,-82,-79.7,-66.4,-20,-50,-50,0.5,-1.2, -20)),,
25,Pacific Islands region[2],NTP*,NA,all,155,5,155,25,210,25,210,5,NA,NA,NA,NA,"155,155,210,210","5,25,25,5",list(c(155,180,180,155,155,25,25,5,5, 25)),,,,
26,Southern Topical Pacific,STP*,NA,all,155,-25,155,-5,230,-5,230,-25,NA,NA,NA,NA,"155,155,230,230","-25,-5,-5,-25",list(c(155,180,180,155,155,-5,-5,-25,-25, -5)),,,,
27,Pacific Islands region[3],ETP*,NA,all,155,-5,155,5,210,5,210,-5,NA,NA,NA,NA,"155,155,210,210","-5,5,5,-5",list(c(155,180,180,155,155,5,5,-5,-5, 5)),,,,
28,West Indian Ocean,WIO*,NA,all,52,5,75,5,75,-25,52,-25,NA,NA,NA,NA,"52,75,75,52","5,5,-25,-25",list(c(75,75,52,52,75,5,-25,-25,5, 5)),,,,
